date,product,interval_min,num_files,num_missing,missing_overpasses
2020-05-20,VNP14IMG,6,240,0,
2020-05-21,VNP14IMG,6,240,0,
2020-05-22,VNP14IMG,6,240,0,
2020-05-23,VNP14IMG,6,240,0,
2020-05-24,VNP14IMG,6,240,0,
2020-05-25,VNP14IMG,6,240,0,
2020-05-26,VNP14IMG,6,240,0,
2020-05-27,VNP14IMG,6,240,0,
2020-05-28,VNP14IMG,6,240,0,
2020-05-29,VNP14IMG,6,240,0,
2020-05-30,VNP14IMG,6,240,0,
2020-05-31,VNP14IMG,6,240,0,
2020-06-01,VNP14IMG,6,240,0,
2020-06-02,VNP14IMG,6,240,0,
2020-06-03,VNP14IMG,6,240,0,
2020-06-04,VNP14IMG,6,240,0,
2020-06-05,VNP14IMG,6,240,0,
2020-06-06,VNP14IMG,6,240,0,
2020-06-07,VNP14IMG,6,240,0,
2020-06-08,VNP14IMG,6,240,0,
2020-06-09,VNP14IMG,6,240,0,
2020-06-10,VNP14IMG,6,240,0,
2020-06-11,VNP14IMG,6,240,0,
2020-06-12,VNP14IMG,6,240,0,
2020-06-13,VNP14IMG,6,240,0,
2020-06-14,VNP14IMG,6,240,0,
2020-06-15,VNP14IMG,6,240,0,
2020-06-16,VNP14IMG,6,240,0,
2020-06-17,VNP14IMG,6,240,0,
2020-06-18,VNP14IMG,6,240,0,
2020-06-19,VNP14IMG,6,240,0,
2020-06-20,VNP14IMG,6,240,0,
2020-06-21,VNP14IMG,6,240,0,
2020-06-22,VNP14IMG,6,240,0,
2020-06-23,VNP14IMG,6,240,0,
2020-06-24,VNP14IMG,6,237,3,1636 1642 1648
2020-06-25,VNP14IMG,6,240,0,
2020-06-26,VNP14IMG,6,240,0,
2020-06-27,VNP14IMG,6,240,0,
2020-06-28,VNP14IMG,6,240,0,
2020-06-29,VNP14IMG,6,240,0,
2020-06-30,VNP14IMG,6,240,0,
2020-07-01,VNP14IMG,6,240,0,
2020-07-02,VNP14IMG,6,240,0,
2020-07-03,VNP14IMG,6,240,0,
2020-07-04,VNP14IMG,6,240,0,
2020-07-05,VNP14IMG,6,240,0,
2020-07-06,VNP14IMG,6,240,0,
2020-07-07,VNP14IMG,6,240,0,
2020-07-08,VNP14IMG,6,240,0,
2020-07-09,VNP14IMG,6,240,0,
2020-07-10,VNP14IMG,6,240,0,
2020-07-11,VNP14IMG,6,240,0,
2020-07-12,VNP14IMG,6,240,0,
2020-07-13,VNP14IMG,6,240,0,
2020-07-14,VNP14IMG,6,240,0,
2020-07-15,VNP14IMG,6,240,0,
2020-07-16,VNP14IMG,6,240,0,
2020-07-17,VNP14IMG,6,240,0,
2020-07-18,VNP14IMG,6,240,0,
2020-07-19,VNP14IMG,6,240,0,
2020-07-20,VNP14IMG,6,240,0,
2020-07-21,VNP14IMG,6,240,0,
2020-07-22,VNP14IMG,6,240,0,
2020-07-23,VNP14IMG,6,240,0,
2020-07-24,VNP14IMG,6,240,0,
2020-07-25,VNP14IMG,6,240,0,
2020-07-26,VNP14IMG,6,240,0,
2020-07-27,VNP14IMG,6,240,0,
2020-07-28,VNP14IMG,6,240,0,
2020-07-29,VNP14IMG,6,240,0,
2020-07-30,VNP14IMG,6,240,0,
2020-07-31,VNP14IMG,6,240,0,
2020-08-01,VNP14IMG,6,240,0,
2020-08-02,VNP14IMG,6,240,0,
2020-08-03,VNP14IMG,6,240,0,
2020-08-04,VNP14IMG,6,240,0,
2020-08-05,VNP14IMG,6,240,0,
2020-08-06,VNP14IMG,6,240,0,
2020-08-07,VNP14IMG,6,240,0,
2020-08-08,VNP14IMG,6,240,0,
2020-08-09,VNP14IMG,6,240,0,
2020-08-10,VNP14IMG,6,240,0,
2020-08-11,VNP14IMG,6,240,0,
2020-08-12,VNP14IMG,6,240,0,
2020-08-13,VNP14IMG,6,240,0,
2020-08-14,VNP14IMG,6,240,0,
2020-08-15,VNP14IMG,6,240,0,
2020-08-16,VNP14IMG,6,240,0,
2020-08-17,VNP14IMG,6,240,0,
2020-08-18,VNP14IMG,6,240,0,
2020-08-19,VNP14IMG,6,240,0,
2020-08-20,VNP14IMG,6,240,0,
2020-08-21,VNP14IMG,6,240,0,
2020-08-22,VNP14IMG,6,240,0,
2020-08-23,VNP14IMG,6,240,0,
2020-08-24,VNP14IMG,6,240,0,
2020-08-25,VNP14IMG,6,240,0,
2020-08-26,VNP14IMG,6,240,0,
2020-08-27,VNP14IMG,6,240,0,
2020-08-28,VNP14IMG,6,240,0,
2020-08-29,VNP14IMG,6,240,0,
2020-08-30,VNP14IMG,6,240,0,
2020-08-31,VNP14IMG,6,240,0,
2020-09-01,VNP14IMG,6,240,0,
2020-09-02,VNP14IMG,6,240,0,
2020-09-03,VNP14IMG,6,240,0,
2020-09-04,VNP14IMG,6,240,0,
2020-09-05,VNP14IMG,6,240,0,
2020-09-06,VNP14IMG,6,240,0,
2020-09-07,VNP14IMG,6,240,0,
2020-09-08,VNP14IMG,6,240,0,
2020-09-09,VNP14IMG,6,240,0,
2020-09-10,VNP14IMG,6,240,0,
2020-09-11,VNP14IMG,6,240,0,
2020-09-12,VNP14IMG,6,240,0,
2020-09-13,VNP14IMG,6,240,0,
2020-09-14,VNP14IMG,6,240,0,
2020-09-15,VNP14IMG,6,240,0,
2020-09-16,VNP14IMG,6,240,0,
2020-09-17,VNP14IMG,6,240,0,
2020-09-18,VNP14IMG,6,240,0,
2020-09-19,VNP14IMG,6,240,0,
2020-09-20,VNP14IMG,6,240,0,
2020-09-21,VNP14IMG,6,240,0,
2020-09-22,VNP14IMG,6,240,0,
2020-09-23,VNP14IMG,6,240,0,
2020-09-24,VNP14IMG,6,225,15,1730 1736 1742 1748 1754 1800 1806 1812 1818 1824 1830 1836 1842 1848 1854
2020-09-25,VNP14IMG,6,240,0,
2020-09-26,VNP14IMG,6,240,0,
2020-09-27,VNP14IMG,6,240,0,
