date,yyyy_mm,day,product,theory,infor,present,missing_vs_theory,missing_vs_infor
2020-04-08,2020-04,8,VNP14IMG,240,240,240,0,0
2020-04-09,2020-04,9,VNP14IMG,240,240,240,0,0
2020-04-10,2020-04,10,VNP14IMG,240,240,240,0,0
2020-04-11,2020-04,11,VNP14IMG,240,240,240,0,0
2020-04-12,2020-04,12,VNP14IMG,240,240,240,0,0
2020-04-13,2020-04,13,VNP14IMG,240,240,240,0,0
2020-04-14,2020-04,14,VNP14IMG,240,240,240,0,0
2020-04-15,2020-04,15,VNP14IMG,240,240,240,0,0
2020-04-16,2020-04,16,VNP14IMG,240,240,240,0,0
2020-04-17,2020-04,17,VNP14IMG,240,240,240,0,0
2020-04-18,2020-04,18,VNP14IMG,240,240,239,1,1
2020-04-19,2020-04,19,VNP14IMG,240,240,240,0,0
2020-04-20,2020-04,20,VNP14IMG,240,240,240,0,0
2020-04-21,2020-04,21,VNP14IMG,240,240,240,0,0
2020-04-22,2020-04,22,VNP14IMG,240,240,240,0,0
2020-04-23,2020-04,23,VNP14IMG,240,240,240,0,0
2020-04-24,2020-04,24,VNP14IMG,240,240,240,0,0
2020-04-25,2020-04,25,VNP14IMG,240,240,240,0,0
2020-04-26,2020-04,26,VNP14IMG,240,240,240,0,0
2020-04-27,2020-04,27,VNP14IMG,240,240,240,0,0
2020-04-28,2020-04,28,VNP14IMG,240,240,240,0,0
2020-04-29,2020-04,29,VNP14IMG,240,240,240,0,0
2020-04-30,2020-04,30,VNP14IMG,240,240,240,0,0
2020-05-01,2020-05,1,VNP14IMG,240,240,239,1,1
2020-05-02,2020-05,2,VNP14IMG,240,240,240,0,0
2020-05-03,2020-05,3,VNP14IMG,240,240,240,0,0
2020-05-04,2020-05,4,VNP14IMG,240,240,240,0,0
2020-05-05,2020-05,5,VNP14IMG,240,240,240,0,0
2020-05-06,2020-05,6,VNP14IMG,240,240,240,0,0
2020-05-07,2020-05,7,VNP14IMG,240,240,240,0,0
2020-05-08,2020-05,8,VNP14IMG,240,240,240,0,0
2020-05-09,2020-05,9,VNP14IMG,240,240,240,0,0
2020-05-10,2020-05,10,VNP14IMG,240,240,240,0,0
2020-05-11,2020-05,11,VNP14IMG,240,240,240,0,0
2020-05-12,2020-05,12,VNP14IMG,240,240,240,0,0
2020-05-13,2020-05,13,VNP14IMG,240,240,240,0,0
2020-05-14,2020-05,14,VNP14IMG,240,240,240,0,0
2020-05-15,2020-05,15,VNP14IMG,240,240,240,0,0
2020-05-16,2020-05,16,VNP14IMG,240,240,240,0,0
2020-05-17,2020-05,17,VNP14IMG,240,240,240,0,0
2020-05-18,2020-05,18,VNP14IMG,240,240,240,0,0
2020-05-19,2020-05,19,VNP14IMG,240,240,240,0,0
2020-05-20,2020-05,20,VNP14IMG,240,240,240,0,0
2020-05-21,2020-05,21,VNP14IMG,240,240,240,0,0
2020-05-22,2020-05,22,VNP14IMG,240,240,240,0,0
2020-05-23,2020-05,23,VNP14IMG,240,240,240,0,0
2020-05-24,2020-05,24,VNP14IMG,240,240,240,0,0
2020-05-25,2020-05,25,VNP14IMG,240,240,240,0,0
2020-05-26,2020-05,26,VNP14IMG,240,240,240,0,0
2020-05-27,2020-05,27,VNP14IMG,240,240,240,0,0
2020-05-28,2020-05,28,VNP14IMG,240,240,240,0,0
2020-05-29,2020-05,29,VNP14IMG,240,240,240,0,0
2020-05-30,2020-05,30,VNP14IMG,240,240,240,0,0
2020-05-31,2020-05,31,VNP14IMG,240,240,240,0,0
2020-06-01,2020-06,1,VNP14IMG,240,240,240,0,0
2020-06-02,2020-06,2,VNP14IMG,240,240,240,0,0
2020-06-03,2020-06,3,VNP14IMG,240,240,240,0,0
2020-06-04,2020-06,4,VNP14IMG,240,240,240,0,0
2020-06-05,2020-06,5,VNP14IMG,240,240,240,0,0
2020-06-06,2020-06,6,VNP14IMG,240,240,240,0,0
2020-06-07,2020-06,7,VNP14IMG,240,240,240,0,0
2020-06-08,2020-06,8,VNP14IMG,240,240,240,0,0
2020-06-09,2020-06,9,VNP14IMG,240,240,240,0,0
2020-06-10,2020-06,10,VNP14IMG,240,240,240,0,0
2020-06-11,2020-06,11,VNP14IMG,240,240,240,0,0
2020-06-12,2020-06,12,VNP14IMG,240,240,240,0,0
2020-06-13,2020-06,13,VNP14IMG,240,240,240,0,0
2020-06-14,2020-06,14,VNP14IMG,240,240,240,0,0
2020-06-15,2020-06,15,VNP14IMG,240,240,240,0,0
2020-06-16,2020-06,16,VNP14IMG,240,240,240,0,0
2020-06-17,2020-06,17,VNP14IMG,240,240,240,0,0
2020-06-18,2020-06,18,VNP14IMG,240,240,240,0,0
2020-06-19,2020-06,19,VNP14IMG,240,240,240,0,0
2020-06-20,2020-06,20,VNP14IMG,240,240,240,0,0
2020-06-21,2020-06,21,VNP14IMG,240,240,240,0,0
2020-06-22,2020-06,22,VNP14IMG,240,240,240,0,0
2020-06-23,2020-06,23,VNP14IMG,240,240,240,0,0
2020-06-24,2020-06,24,VNP14IMG,240,237,237,3,0
2020-06-25,2020-06,25,VNP14IMG,240,240,240,0,0
2020-06-26,2020-06,26,VNP14IMG,240,240,240,0,0
2020-06-27,2020-06,27,VNP14IMG,240,240,240,0,0
2020-06-28,2020-06,28,VNP14IMG,240,240,240,0,0
2020-06-29,2020-06,29,VNP14IMG,240,240,240,0,0
